,token_str,pos,n
973,another,DT,7
974,woman,NN,5
976,He,PRP,2
977,was,VBD,3
978,fairly,RB,6
979,happy,JJ,5
981,except,IN,6
982,that,DT,4
984,like,IN,4
985,many,JJ,4
986,people,NNS,6
987,living,VBG,6
988,in,IN,2
989,Europe,NNP,6
991,he,PRP,2
992,would,MD,5
993,rather,RB,6
994,have,VB,4
995,been,VBN,4
996,in,IN,2
997,America,NNP,7
999,and,CC,3
1000,he,PRP,2
1001,had,VBD,3
1002,discovered,VBN,10
1003,writing,NN,7
1005,He,PRP,2
1006,wrote,VBD,5
1007,a,DT,1
1008,novel,NN,5
1010,and,CC,3
1011,it,PRP,2
1012,was,VBD,3
1013,not,RB,3
1014,really,RB,6
1015,such,JJ,4
1016,a,DT,1
1017,bad,JJ,3
1018,novel,NN,5
1019,as,IN,2
1020,the,DT,3
1021,critics,NNS,7
1022,later,RB,5
1023,called,VBD,6
1024,it,PRP,2
1026,although,IN,8
1027,it,PRP,2
1028,was,VBD,3
1029,a,DT,1
1030,very,RB,4
1031,poor,JJ,4
1032,novel,NN,5
1034,He,PRP,2
1035,read,VBD,4
1036,many,JJ,4
1037,books,NNS,5
1039,played,VBD,6
1040,bridge,NN,6
1042,played,VBN,6
1043,tennis,NN,6
1045,and,CC,3
1046,boxed,VBD,5
1047,at,IN,2
1048,a,DT,1
1049,local,JJ,5
1050,gymnasium,NN,9
1052,I,PRP,1
1053,first,RB,5
1054,became,VBD,6
1055,aware,JJ,5
1056,of,IN,2
1057,his,PRP$,3
1058,lady,NN,4
1060,s,JJ,1
1061,attitude,NN,8
1062,toward,IN,6
1063,him,PRP,3
1064,one,CD,3
1065,night,NN,5
1066,after,IN,5
1067,the,DT,3
1068,three,CD,5
1069,of,IN,2
1070,us,PRP,2
1071,had,VBD,3
1072,dined,VBN,5
1073,together,RB,8
1075,We,PRP,2
1076,had,VBD,3
1077,dined,VBN,5
1078,at,IN,2
1079,l,NN,1
1081,Avenue,NNP,6
1083,s,NN,1
1084,and,CC,3
1085,afterward,RB,9
1086,went,VBD,4
1087,to,TO,2
1088,the,DT,3
1089,Café,NNP,4
1090,de,FW,2
1091,Versailles,NNP,10
1092,for,IN,3
1093,coffee,NN,6
1095,We,PRP,2
1096,had,VBD,3
1097,several,JJ,7
1098,_fines_,NNS,7
1099,after,IN,5
1100,the,DT,3
1101,coffee,NN,6
1103,and,CC,3
1104,I,PRP,1
1105,said,VBD,4
1106,I,PRP,1
1107,must,MD,4
1108,be,VB,2
1109,going,VBG,5
1111,Cohn,NNP,4
1112,had,VBD,3
1113,been,VBN,4
1114,talking,VBG,7
1115,about,IN,5
1116,the,DT,3
1117,two,CD,3
1118,of,IN,2
1119,us,PRP,2
1120,going,VBG,5
1121,off,RP,3
1122,somewhere,RB,9
1123,on,IN,2
1124,a,DT,1
1125,weekend,NN,7
1126,trip,NN,4
1128,He,PRP,2
1129,wanted,VBD,6
1130,to,TO,2
1131,get,VB,3
1132,out,IN,3
1133,of,IN,2
1134,town,NN,4
1135,and,CC,3
1136,get,VB,3
1137,in,IN,2
1138,a,DT,1
1139,good,JJ,4
1140,walk,NN,4
1142,I,PRP,1
1143,suggested,VBD,9
1144,we,PRP,2
1145,fly,VBP,3
1146,to,TO,2
1147,Strasbourg,NNP,10
1148,and,CC,3
1149,walk,VB,4
1150,up,RB,2
1151,to,TO,2
1152,Saint,NNP,5
1153,Odile,NNP,5
1155,or,CC,2
1156,somewhere,RB,9
1157,or,CC,2
1158,other,JJ,5
1159,in,IN,2
1160,Alsace,NNP,6
1163,I,PRP,1
1164,know,VBP,4
1165,a,DT,1
1166,girl,NN,4
1167,in,IN,2
1168,Strasbourg,NNP,10
1169,who,WP,3
1170,can,MD,3
1171,show,VB,4
1172,us,PRP,2
1173,the,DT,3
1174,town,NN,4
1177,I,PRP,1
1178,said,VBD,4
1180,Somebody,NN,8
1181,kicked,VBD,6
1182,me,PRP,2
1183,under,IN,5
1184,the,DT,3
1185,table,NN,5
1187,I,PRP,1
1188,thought,VBD,7
1189,it,PRP,2
1190,was,VBD,3
1191,accidental,JJ,10
1192,and,CC,3
1193,went,VBD,4
1194,on,IN,2
1197,She,PRP,3
